Country,Protest Name,Start Date,Freedom Rating (Status),Triggers,Motivations,Peak Size,Key Participants,Duration,Outcomes,Size category,Capital city,Active protests,Economic motivation?,Political motivation?,Corruption motivation?,Protests with a significant outcome,"Large protests (Over 100,000 protesting)",Violent government response,Long protests (more than 3 months),Coronavirus-related protests,percentage situations
Bulgaria,Domestic violence protest,23-jul.,Free,"A Bulgarian man beat up his girlfriend, cut her more than 100 times with a knife, and shaved her head—injuries that required 400 stitches. The man was arrested but a court later released him after rating the woman's injuries as ""light""",Anger over the prevalence of violence against women in Bulgaria.,5,General public,1 day,"Parliament strengthened the penal code, increasing punishments for domestic violence and allowing people in “intimate relationships” to seek protection, as married couples already could.",Thousands,Sofia,0,0,X,0,X,0,0,0,0,"500,00%"
Central African Republic,Constitutional referendum protest,23-jul.,Not free,President Faustin-Archange Touadéra announced on May 30 that the country would hold a referendum on a new draft constitution on July 30.,"Fears that the vote would be unfair, and that President Touadéra would use the new constitution to stay in power for life.",500,General public,1 day,"On August 21, the Constitutional Court validated the results of the July 30 referendum, in which 95 percent of voters approved the new constitution. The opposition boycotted the vote.",Hundreds,Bangui,0,0,X,0,0,0,0,0,0,"50000,00%"
Gaza Strip,Anti-Hamas protests,23-jul.,Not free,A July heat wave caused power outages,"Discontent with Hamas, the movement that has governed the Gaza Strip since 2007; limited access to electricity; high unemployment; and corruption.",">1,000",General public,1 week,No policy/leadership change in response to the protests.,Thousands,Gaza City,0,X,X,X,0,0,0,0,0,"100,00%"
Guatemala,Election interference protests,23-jul.,Partly free,"Guatemala's top prosecutor ordered the suspension of the Seed Movement party, which came in second place in the first round of the country's presidential election. Officials raided the Supreme Electoral Tribunal headquarters in search of evidence the following day. Anti-corruption candidate Bernardo Arévalo won the election but the incumbent has tried to block his transition. In November 2023, prosecutors announced they plan to strip Arévalo and his copartisans of immunity for allegedly making social media posts that encouraged students to take over San Carlos University in 2022.",Anger over the perceived unfairness of the presidential race and attempts to undermine the Arévalo's victory. Calls for public prosecutor to resign for trying to stop transfer of power.,">1,000",Supporters of the opposition.,6 months,"On July 13, Guatemala’s Supreme Electoral Tribunal overruled the suspension of the Seed Movement party. On August 28, the Supreme Electoral Tribunal certified that Arévalo won the election. The U.S. condemned the November 2023 allegations leveraged against Arévalo and said it would impose sanctions against those who interfered with the transition of power. Despite these efforts to obstruct the transfer of power, Arévalo was sworn into office on January 15, 2024.",Thousands,Guatemala City,0,0,0,X,X,0,0,X,0,"100,00%"
Hungary,Pride protest,23-jul.,Partly free,"The Hungarian government, led by Viktor Orban's Fidesz Party, passed laws to suppress Queer visibility, including in 2021 banning the ""display and promotion of homosexuality"" among those under the age of eighteen in books and films.","Anger over government policies that suppress LGBTQ+ visibility, fear of further laws that might restrict the place of Queer people in Hungarian society.",10,General public,1 day,No policy/leadership change in response to protests.,Tens of thousands,Budapest,0,0,X,0,0,0,0,0,0,"1000,00%"
Malawi,Anti-LGBT protest,23-jul.,Partly free,A Dutch NGO worker and a Malawian transgender woman separately faced charges under colonial-era legislation outlawing sodomy. Malawi’s High Court was set to hear their case on July 17; the pair was seeking to have bans on same-sex marriage and gay sex overturned.,Fear over the advance of LGBT rights in Malawi.,">5,000",Religious leaders.,1 day,No policy/leadership change in response to protests.,Thousands,Lilongwe,0,0,X,0,0,0,0,0,0,"500,00%"
Niger,Coup protest,23-jul.,Partly free,"On July 26, soldiers from Niger’s presidential guard deposed President Mohamed Bazoum in a coup d'etat.",Anger and fear over the loss of political rights implied by the coup.,>100,General public,1 day,"On July 28, Spokesman Col. Maj. Amadou Abdramane said on state television that the constitution was suspended and Gen. Abdourahmane Tchiani was in charge.",Hundreds,Niamey,0,0,X,0,0,0,0,0,0,"10000,00%"
Pakistan,Quran desecration protests,23-jul.,Partly free,"On June 28, Salwan Momika, an Iraqi immigrant living in Sweden, tore pages out of a Quran and burned them in front of a mosque in Stockholm. The incident took place on Eid al-Adha, a major Islamic holiday.","Anger over the burning of the Quran, which is deeply offensive to Muslim people.",">1,000",General public.,3 weeks,No policy/leadership change in response to the protests.,Thousands,Islamabad,0,0,X,0,0,0,0,0,0,"100,00%"
Thailand,Move Forward protests,23-jul.,Not free,Thailand's Parliament voted to prevent Pita Limjaroenrat of the opposition Move Forward Party from standing for election for the premiership for a second time.,Anger over the perceived anti-democratic actions of the Parliament and Supreme Court.,>100,Supporters of the Move Forward Party,2 weeks,No policy/leadership change in response to protests.,Hundreds,Bangkok,0,0,X,0,0,0,0,0,0,"10000,00%"
United Kingdom,This Is Rigged protests,23-jul.,Free,Policy decisions of the UK government that protesters believed were insufficient to address climate change,Fears related to the effects of climate change.,<100,Climate activists,Active,No policy/leadership change in response to the protests.,Tens,London,X,0,X,0,0,0,0,0,0,<100
Yemen,Quran desecration protests,23-jul.,Not free,"On July 20, 2023, two men kicked and partially destroyed a Quran in front of the Iraqi embassy in Stockholm, Sweden. On July 24, two other men burned a Quran outside the Iraqi embassy in Copenhagen, Denmark.","Anger over the desecration of the Quran, which is deeply offensive to Muslim people.",">1,000",Followers of the Houthi movement.,1 month,Houthi leaders implemented a ban on the import of Swedish goods.,Thousands,Sana'a,0,0,X,0,0,0,0,0,0,"100,00%"
France,2023 pension reform strikes and protests,23-jan.,Free,Government plans for pension reform including a measure that would raise the retirement age from 62 to 64.,Anger over the prospect of more years in the work force before retirement.,>1.2 million,"Unions, public sector employees, rail workers, teachers.",4.5 months; 1 day in October 2024,"No policy/leadership change in response to protests. In March 2023, French Prime Minister Elisabeth Borne used a special procedure to push the pensions bill through the National Assembly without a vote.",Millions,Paris,0,X,X,0,0,X,0,X,0,1.2 million
Germany,Coal mine expansion protests,23-jan.,Free,The state government of North Rhine-Westphalia and the national government reached a deal with utility company RWE to destroy the abandoned village of Luetzerath and build a coal mine there.,Anger that construction of additional coal mines will hinder Germany's ability to meet its 2015 Paris climate accord commitments.,">15,000",Climate activists.,1 week,No policy/leadership change in response to protests.,Tens of thousands,Berlin,0,0,X,0,0,0,0,0,0,"1500,00%"
Haiti,Police protest,23-jan.,Not free,The killing of six police officers in an armed attack against a police substation in Haiti’s Artibonite Valley.,Outrage over perceived government inaction to protect police officers in the wake of gang violence.,>100,Police officers.,1 day,No policy/leadership change in response to protests.,Hundreds,Port-au-Prince,0,0,X,0,0,0,0,0,0,"10000,00%"
India,Wrestling Federation sexual abuse protests,23-jan.,Partly free,"One of India’s most decorated female wrestlers accused Brij Bhushan, the president of the Wrestling Federation of India, of sexually harassing several young female wrestlers.",Demands for the removal and arrest of Brij Bhushan and other officials.,">1,000","Wrestlers, women.",3 days in January 2023; 2 months beginning April 2023,"Indian Sports Minister Anurag Thakur announced the creation of an oversight committee that would investigate the accusations and release a report after four weeks. Thakur stripped Brij Bhushan of his administrative powers and asked him to resign. On June 15, police filed charges of sexual harassment and intimidation against Brij Bhushan.",Thousands,New Delhi,0,0,X,0,X,0,0,0,0,"100,00%"
Indonesia,Emergency presidential order protest,23-jan.,Partly free,The president signed an emergency presidential order to replace the country’s 2020 Jobs Creation law and urged Parliament to make the order permanent.,Concerns over the order's impact on labor rights and environmental protection.,">1,000",General public.,1 day,No policy/leadership change in response to protests.,Thousands,Jakarta,0,0,X,0,0,0,0,0,0,"100,00%"
Israel,Judicial reform strikes and protests,23-jan.,Free,"The government introduced plans to overhaul the country's judicial system; the plan would weaken the Supreme Court by giving parliament the power to overturn court decisions with a simple majority vote, among other proposed changes.",Fears of democratic backsliding.,">500,000",General public.,10 months,"On July 24, Israel’s Knesset passed the first piece of the overhaul by a vote of 64-0; it stripped the Supreme Court of the power to declare government decisions unreasonable. Unity government was formed after Oct. 7 attack by Hamas, and protests have paused.",Hundreds of thousands,Jerusalem,0,0,X,0,X,X,0,X,0,"50000,00%"
Lebanon,Beirut blast investigation protests,23-jan.,Partly Free,The investigation into the 2020 Beirut blast remained frozen for more than one year.,Anger over the lack of accountability for those responsible for the 2020 Beirut port explosion.,>100,Family members of those killed in the 2020 Beirut blast.,"1 week in January 2023, 1 day in August 2023","Judge Tarek Bitar unexpectedly reopened the investigation that had been frozen. In response, Lebanon's top prosecutor, Ghassan Oweidat, blocked the move, filed charges against Judge Bitar, and ordered the release of all detainees related to the case, sparking a judicial crisis.",Hundreds,Beirut,0,0,X,X,X,0,0,0,0,"10000,00%"
Nigeria,Cash shortage protests,23-jan.,Partly free,"The central bank introduced new currency and planned to phase out the old banknotes, creating cash shortages during the transition.",Anxieties related to the inaccessibility of the new banknotes and anger over long queues at banks and ATMs.,>100,General public.,3 weeks,"The president extended the deadline to use the old currency from January 31 to February 10, then extended it again to April 10. In early March 2023, the Supreme Court ordered the central bank to extend the deadline to December 31.",Hundreds,Abuja,0,X,X,0,X,0,0,0,0,"10000,00%"
Portugal,Teacher wage protests,23-jan.,Free,Negotiations over wages and working conditions between teachers unions and the Ministry of Education broke down.,Anxieties about stagnating wages amidst rising prices.,">20,000",Teachers.,3.5 months,No policy/leadership change in response to protests.,Tens of thousands,Lisbon,0,X,X,0,0,0,0,X,0,"2000,00%"
Portugal,Animal rights protest,23-jan.,Free,Portugal’s public prosecutors had asked the constitutional court to declare unconstitutional a law that criminalizes the mistreatment of pets,Fear that the decision deeming the law unconstitutional would result in inadequate protections for pets.,">1,000","General public, animal rights activists.",1 day,No policy/leadership change in response to protests.,Thousands,Lisbon,0,0,X,0,0,0,0,0,0,"100,00%"
South Africa,Service delivery protests,23-jan.,Free,State-owned energy firm Eskom was unable to deliver sufficient power to avert prolonged outages.,Frustration with persistent power cuts; anger with the ruling African National Congress party's failure to deliver services and create jobs.,">1,000",Supporters of the Economic Freedom Fighters party.,Active,"The president declared a ""state of disaster"" and pledged to end the energy crisis.",Hundreds,"Pretoria, Cape Town, Bloemfontein",X,0,X,X,X,0,0,X,0,"100,00%"
Spain,Water restriction protest,23-jan.,Free,The government introduced plans to reduce the amount of water taken from the Tagus river to irrigate agricultural land in the country's southeast.,Fears that the plans would result in the loss of tens of thousands of farm-related jobs.,">1,000",Farmers.,1 day,No policy/leadership change in response to protests.,Thousands,Madrid,0,X,X,0,0,0,0,0,0,"100,00%"
Sweden,Anti-Turkish government protests,23-jan.,Free,"Turkey held up Sweden's accession to NATO, citing Sweden's refusal to extradite to Turkey dozens of individuals whom Turkey linked to the Kurdistan Workers' Party (PKK) terrorist group.","Anger over Sweden's stymied NATO accession om account of Turkey's lack of support, Islamophobia.",>100,"Kurds, Rasmus Paludan.",1 week,Turkish President Erdogan made explicitly clear that Sweden cannot expect Turkey’s support for NATO membership.,Hundreds,Stockholm,0,0,X,0,X,0,0,0,0,"10000,00%"
United States,Stop Cop City protests,23-jan.,Free,"The Atlanta City Council voted to approve plans for a $90 million, eighty-five-acre Public Safety Training Center to train police officers, firefighters, and 9-1-1 operators, to be situated within a 300-acre forest in southwest unincorporated DeKalb County; in January 2023, police shot and killed protester Manuel Esteban Paez Teran, 26.",Fears over environmental damage caused by the construction of the facility and the possible consequences of the facility's use on the militarization of Atlanta's police; anger over the significant cost to taxpayers of the facility's construction.,">1,000",General public.,"3 months, intermittently with significant protests in November 2023.","No policy/leadership change in response to protests. On June 6, the Atlanta City Council voted overwhelmingly to approve $31 million in funding for the construction of the $90 million police and fire training complex. Georgia Attorney General Chris Carr obtained an indictment to charge 61 protesters in August using the state's anti-racketeering law.",Thousands,"Washington, D.C.",0,0,X,0,0,0,X,0,0,"100,00%"
United States,Abortion access protests,23-jan.,Free,"The 50th anniversary of the Supreme Court decision in Roe v. Wade, which found a constitutional right to abortion in the United States.",Anger with Supreme Court rulings and state legislation that chipped away at or eliminated access to legal abortion in many states.,">1,000",Women.,1 day,No policy/leadership change in response to protests.,Thousands,"Washington, D.C.",0,0,X,0,0,0,0,0,0,"100,00%"
Venezuela,Public sector workers protests,23-jan.,Not free,Rapidly rising prices.,Economic hardships resulting from insufficient wages.,>100,"Public sector workers, especially teachers.",2 weeks,The government gave teachers a $30 bonus.,Hundreds,Caracas,0,X,X,0,0,0,0,0,0,"10000,00%"
Cameroon,Detained youth protests,23-Feb,Not free,The military detained about 30 youths for their suspected involvement in rebel activity.,Accusations of abuses committed by Cameroon's military in the reigon.,>100,Women.,1 week,The military released the youths.,Hundreds,Yaoundé,0,0,X,0,X,0,0,0,0,"10000,00%"
China,Retiree protests,23-Feb,Not free,"The government restructured the medical insurance system, cutting some government-provided medical insurance for senior citizens.",Anger over cuts to what the senior citizens believed was owed to them for their years in the labor force.,">1,000",Retirees in Wuhan and Dalian.,1 week,No policy/leadership change in response to protests.,Thousands,Beijing,0,X,X,0,0,0,0,0,0,"100,00%"
Colombia,Social and economic reform protests,23-Feb,Partly free,"The president proposed social and economic reforms that aim to combat poverty, improve security, and combat climate change.",Fears that the proposals would harm the country's economic stability or lead to increased poverty.,">1,000",Supporters of the opposition.,1 week in February 2023; 1 day in June 2023.,No policy/leadership change in response to protests.,Thousands,Bogota,0,X,X,0,0,0,0,0,0,"100,00%"
Denmark,Public holiday cancellation protest,23-Feb,Free,The government announced plans to cancel a public holiday to help finance increased defende spending.,Anger over the prospect of an increased number of work days.,">40,000",Labor unions.,1 day,No policy/leadership change in response to the protest.,Tens of thousands,Copenhagen,0,0,X,0,0,0,0,0,0,"4000,00%"
Ethiopia,Water shortage protest,23-Feb,Not free,Water shortages.,Anger over perceived government inaction to provide sufficient water.,">1,000",Residents of Welkite.,1 day,No policy/leadership change in response to the protest.,Thousands,Addis Ababa,0,0,X,0,0,0,X,0,0,"100,00%"
France,Anti-pesticide ban protest,23-Feb,Free,"In accordance with a European Court of Justice ruling, the French government closed a loophole that allowed sugar beet farmers to use neonicotinoids, a pesticide that the European Union banned in 2018.",Fears that the ban on neonicotinoid pesticides will contrain farmers' livelihoods.,">2,000",Sugar beet farmers.,1 day,No policy/leadership change in response to protests.,Thousands,Paris,0,X,0,0,0,0,0,0,0,"200,00%"
Norway,Wind farm protests,23-Feb,Free,Two wind farms in central Norway continued to operate despite an earlier Supreme Court ruling that the wind farms violated the rights of indigenous people.,"Disruptions to indigenous ways of life, especially reindeer herding.",>100,"Sami people, Greta Thunberg.",9 days,"The government apologized to Sami groups for the construction of the turbines, calling it a ""human rights violation,"" but did not commit to shutting down the wind farms.",Hundreds,Oslo,0,0,X,0,0,0,0,0,0,"10000,00%"
Portugal,Cost of living protests,23-Feb,Free,Rapidly rising prices in conjunction with stagnating wages.,Economic anxieties related to inflation.,">1,000",General public.,"2 months beginning in February 2023, active as of September",No policy/leadership change in response to protests.,Thousands,Lisbon,X,X,0,0,0,0,0,0,0,"100,00%"
Serbia,Anti-normalization protests,23-Feb,Partly free,The president of Serbia said that he would consider a plan that EU and US officials proposed for normalizing relations between Serbia and Kosovo.,Fears that the proposal would require Serbia to recognize Kosovo and not object to Kosovo's membership in international institutions.,">1,000",Right-wing partisans.,5 weeks,No policy/leadership change in response to protests.,Thousands,Belgrade,0,0,X,0,0,0,0,0,0,"100,00%"
Sri Lanka,Election cancellation protests,23-Feb,Partly free,"The government postponed local elections, claiming that the country's economic crisis strapped authorities of funds to hold the vote.",Anger over voters' inability to express their preferences through democratic means.,">1,000",Supporters of the opposition.,1 week,No policy/leadership change in response to the protest.,Thousands,Colombo,0,0,X,X,0,0,0,0,0,"100,00%"
Suriname,Fuel and electricity price protests,23-Feb,Free,The president ended state subsidies for fuel and electricity on the recommendation of the International Monetary Fund.,Anger over hikes in fuel and electricity prices; fears that the president was seeking to postpone the 2025 general election.,>100,General public.,1 month,No policy/leadership change in response to protests.,Hundreds,Paramaribo,0,X,X,0,0,0,0,0,0,"10000,00%"
Turkey,Earthquake protests,23-Feb,Not free,"Turkey experienced amagnitude 7.8 earthquake on February 6 that killed more than 40,000 people in the country.","Anger over what protesters believe was a slow and ineffective response to the earthquake, and over government construction policies that the protesters believed contributed to the high death toll.",">1,000",Fans of the Besiktas and Fenerbahce soccer clubs.,2 days,No policy/leadership change in response to protests.,Thousands,Ankara,0,0,X,0,0,0,0,0,0,"100,00%"
Democratic Republic of the Congo,Presidential election results protest,23-Dec,Not free,"The incumbent President Felix Tshisekedi won the December 2023 presidential election after the voting period was extended by a day due to logistical issues. The Carter Center noted ""serious irregularities"" in the election's administration.",Opposition candidates marched to demand the election results be annulled. The government banned the opposition's protests on December 26. Protesters clashed with police on December 27.,">10,000","Opposition candidates, Nobel Peace Prize laureate Denis Mukwege",1 month,"No policy/leadership change in response to the protest. The government banned the opposition's marches in December 2023, but they continued to occur until President Tshisekedi's inauguration for his second term in January 2024.",Tens of thousands,Kinshasa,0,0,X,0,0,0,X,0,0,"1000,00%"
Hungary,Trucker border blockade,23-Dec,Free,The EU waved entry restrictions on Ukrainian lorries following the Russian invasion of Ukraine.,Frustration among Hungarian truck drivers who feel the markets they once supplied are being taken over by Ukrainian truck drivers due to their low prices.,>10,Truckers,10 days,No policy/leadership change in response to protests.,Dozens,Budapest,0,X,0,0,0,0,0,0,0,"1000,00%"
Indian Kashmir,Custodial deaths protests,23-Dec,Not free,"The Supreme Court upheld the government’s decision to revoke Article 370 of India’s constitution, which gave limited autonomy to the region. The day after four Indian soldiers were killed in an ambush by rebels fighting against Indian rule, the Indian army detained eight civilians. Three of the detainees died in military custody, with locals accusing the Indian army of torturing the detainees to death.","Opposition to Indian rule and demanding restraint from the Indian army in the region, which has operated with near-impunity. Demanding an end to the killing of and violence toward inhabitants of Kashmir.",>100,Jammu & Kashmir National Conference,1 day,No policy/leadership change in response to protests.,Hundreds,,0,0,X,0,0,0,0,0,0,"10000,00%"
Indonesia,Students' anti-Rohingya protest,23-Dec,Partly free,"Over 1,500 Rohingya refugees have arrived in Aceh province on the island of Sumatra since November.","Students rallied outside the provincial parliament calling on lawmakers to turn away Rohingya refugees, fearing they will cause social and economic disruption. Some protesters stormed a convention center housing over a hundred Rohingya refugees.",>200,Students,1 day,No policy/leadership change in response to protest.,Hundreds,Jakarta,0,X,X,0,0,0,0,0,0,"20000,00%"
Italy,Green Grand Canal protest,23-Dec,Free,COP28 was held in Dubai and left many climate activists dissatisfied.,Protesters affiliated with Extinction Rebellion poured green dye into Venice's Grand Canal (as well as other waterways nationwide) to protest the lack of progress made at COP28 to address climate change.,>100,Extinction Rebellion,1 day,No policy/leadership change in response to protest.,Hundreds,Rome,0,0,0,0,0,0,0,0,0,"10000,00%"
Kosovo,Femicide protest,23-Dec,Partly free,A woman was killed at the hands of an alleged hitman hired by her husband.,Protest against femicide and gender based violence.,>100,Women,1 day,No policy/leadership change in response to protest.,Dozens,Pristina,0,0,0,0,0,0,0,0,0,"10000,00%"
Kyrgyzstan,Flag change protests,23-Dec,Not free,"President Sadyr Japarov, who has expanded his office's powers and reduced those of Parliament, proposed a change to the state flag to make the center emblem look more like a sun instead of a sunflower in an effort to project strength and independence.",Protesters claim the flag change is an effort to distract from the greater issues which the government is not addressing.,<100,General public,1 month,The flag change was enacted in late December despite the protests.,Dozens,Bishkek,0,0,X,0,0,0,0,0,0,<100
Kyrgyzstan,Vendors' tax protest,23-Dec,Not free,The government planned to introduce a new tax system that will lead to an overall increase in taxes. The plan will also require vendors to use electronic cash registers and pay taxes on each item sold.,"Denounce the new tax system, which vendors say will hurt their business.",>100,Vendors,1 day,President Sadyr Japarov announced the implementation of the new tax system (slated for early 2024) would be delayed by six months.,Hundreds,Bishkek,0,X,0,0,X,0,0,0,0,"10000,00%"
Poland,State media sit-in,23-Dec,Partly free,"The Law and Justice party (PiS) failed to win a majority of seats in the October 2023 parliamentary elections. Prime Minister Donald Tusk and the Civic Coalition party formed a coalition government, and in so doing assumed control over the public broadcasting stations, which were highly politicized when controlled by PiS. Tusk has announced significant changes, including suspending the channel TVP Info, which was a bullhorn for PiS.",PiS sit-in at state broadcasting office to protest their loss of control over state media.,<100,Law and Justice politicians,1 day,No policy/leadership change in response to protest.,Dozens,Warsaw,0,0,X,0,0,0,0,0,0,<100
Russia,Protesting the crackdown on independent journalism,23-Dec,Not free,"A Radio Free Europe/Radio Liberty reporter with the Tatar-Bashkir Service, Alsu Kurmasheva, has been in police custody since October 11 for failing to register as a foreign agent because she holds dual citizenship in the U.S. and Russia. Broader crackdown on independent media in Russia since the invasion of Ukraine in 2022.",Call for the release of Alsu Kurmasheva and for freedom of the press.,<100,Journalists,1 day,No policy/leadership change in response to protest.,Dozens,Moscow,0,0,X,0,0,0,0,0,0,<100
Serbia,Anti-Russian Supreme Court protests,23-Dec,Not free,"The Russian Supreme Court declared the ""international LGBT movement"" to be extremist.","Protest outside Russian embassy in Belgrade in solidarity with the LGBTQ+ community and express discontent with the decision, given Russian influence in Serbia.",>100,"LGBTQ+, general public",1 day,No policy/leadership change in response to the protests.,Hundreds,Belgrade,0,0,0,0,0,0,0,0,0,"10000,00%"
Tunisia,Mohamad Zouari memorial protests,23-Dec,Partly free,Seventh anniversary of the assassination of Hamas executive Mohamad Zouari in Tunisia.,"Mourn the death of Zouari, seen by many as a martyr, and denounce the ongoing Israel-Hamas war.",>100,General public,1 day,No policy/leadership change in response to protest.,Hundreds,Tunis,0,0,X,0,0,0,0,0,0,"10000,00%"
Ukraine,Money for the AFU protest,23-Dec,Partly free,Discontent with spending by the Kyiv City Council on urban renewal projects during the war. Allegations of corruption in Ukraine,"Protesters gathered outside Kyiv City Hall on December 14 to denounce ""wasteful"" spending by municipal officials and demand that money for projects in Kyiv be diverted to the war effort.",>100,Money for the AFU,1 day,No policy/leadership change in response to protest.,Hundreds,Kyiv,0,0,X,0,0,0,0,0,0,"10000,00%"
United Arab Emirates,COP28 protests,23-Dec,Not free,COP28 was held in Dubai.,"Protesters rallied against migrant worker abuse, climate change and the use of fossil fuels, and the Israel-Hamas war. Protesters also denounced killings of indigenous people.",">1,000",General public,2 weeks,No policy/leadership change in response to protest.,Thousands,Abu Dhabi,0,X,X,X,0,0,0,0,0,"100,00%"
United Kingdom,Rwanda plan protests,23-Dec,Free,The government approved new immigration policies on December 12 that include sending asylum seekers to Rwanda via boat for permanent resettlement.,Demonstrators believe the law is racist and xenophobic.,>100,"Opposition, Labour",1 day,No policy/leadership change in response to protest.,Hundreds,London,0,0,X,0,0,0,0,0,0,"10000,00%"
Bosnia and Herzegovina,Femicide protest,23-Aug,Partly Free,A man shot his ex-wife dead and live streamed the murder on Instagram,Anger and fear over the prevalence of violence against women in Bosnia.,">1,000",Women,1 day,No policy/leadership change in response to the protests.,Thousands,Sarajevo,0,0,X,0,0,0,0,0,0,"100,00%"
Cyprus,Anti-migrant protests,23-Aug,Free,The Cypriot government struggled to accommodate the large number of migrants who had arrived.,Fear and anger over the allocation of finite resources to accommodate the migrants.,>500,General public,1 week,No policy/leadership change in response to the protest.,Hundreds,Nicosia,0,0,X,0,0,0,0,0,0,"50000,00%"
France,Anti-France protests,23-Aug,Partly free,"France refused to withdraw its nearly 1,500 soldiers from a military base in Niger or its ambassador from Niamey despite the Nigerian junta's request that France do so.",Anger over continued French presence in Niger.,">10,000",General public,1 month,French troops withdrew from Niger on October 23.,Tens of thousands,Niamey,0,0,X,0,X,0,0,0,0,"1000,00%"
Haiti,Security protests,23-Aug,Not free,"Gangs, which controlled an estimated 80 percent of the capital, Port-au-Prince, continued to kill and rape civilians","Terror over the security situation, which had deteriorated since the start of 2023.",">1,000",General public,3 weeks,No policy/leadership change in response to the protests.,Thousands,Port-au-Prince,0,X,X,0,0,0,0,0,0,"100,00%"
Libya,Anti-Israel protests,23-Aug,Not free,"Israeli Foreign Minister Eli Cohen announced that he had met secretly with Najla el-Mangoush, foreign minister for Libya’s Tripoli-based government, in Italy the week prior",Anger and betrayal over the prospect of Libya normalizing relations with Israel,>100,General public,2 days,Prime Minister Abdulhamid Dbeibah suspended Mangoush and referred her for internal investigation. Mangoush fled to Turkey.,Hundreds,Tripoli,0,0,X,0,X,0,0,0,0,"10000,00%"
Nigeria,Fuel subsidy strike and protest,23-Aug,Partly free,"The government stopped subsidizing fuel, which caused the price of fuel to rise dramatically",Belief that the government was not taking sufficient action to support citizens burdened by the fuel subsidy removal.,>100,Members of the Nigeria Labour Congress union,1 day,"The day before the demonstration, the government announced a $650 million relief package. President Tinubu met with NLC representatives and agreed to continue negotiations.",Hundreds,Abuja,0,X,X,0,X,0,0,0,0,"10000,00%"
South Africa,Minibus strikes and protests,23-Aug,Free,"Cape Town authorities impounded many minibus taxis for violations of a municipal by-law that prohibits driving without a license, failing to display number plates, and overloading.",Frustrations over what the taxi drivers perceived to be heavy-handed tactics by Cape Town authorities to regulate their vital sector of the economy.,>100,Taxi drivers,8 days,No policy/leadership changes in response to the protests.,Hundreds,"Pretoria, Cape Town, Bloemfontein",0,X,X,0,0,0,0,0,0,"10000,00%"
South Korea,Fukushima wastewater protests,23-Aug,Free,The Japanese government announced plans to start releasing wastewater from the Fukushima nuclear power plant into the Pacific Ocean within weeks,Fears over environmental damage caused by the release of the wastewater.,">1,000",General public,1 month,No policy/leadership change in response to the protests.,Thousands,Seoul,0,0,X,0,0,0,0,0,0,"100,00%"
Syria,Anti-Assad protests,23-Aug,Not free,"The government slashed fuel subsidies, nearly tripling the price of petrol.","Anger over the country's economic woes, poor delivery of public goods and services, government repression, the continued imprisonment of political prisoners, rampant corruption, and sectarianism.",">1,000",Druze in Sweida,Active,No policy/leadership change in response to the protests.,Thousands,Damascus,0,X,X,X,0,0,0,0,0,"100,00%"
Bulgaria,Ukraine grain protests,23-Apr,Free,European Commission policies to allow Ukrainian farmers to export grains through EU countries—intended to counteract the reduction in grain exports caused by Russian blockades of Ukrainian Black Sea ports—resulted in a glut of Ukrainian grains in Bulgarian markets.,Anger over lowered prices of domestically-produced grains and lower availability of local warehouses.,>100,Farmers,1 week,"On April 28, the European Commission announced an agreement in principle with Hungary, Slovakia, Romania, Bulgaria, and Poland to provide €100 million in compensation to their local farmers and require that Ukrainian exports of wheat, maize, oilseed, and sunflower seed can only enter those five countries if it is already bound for another destination.",Hundreds,Sofia,0,X,X,0,X,0,0,0,0,"10000,00%"
Ethiopia,Special forces integration protests,23-Apr,Not free,The government ordered the integration of the eleven regions’ special forces into the federal military.,Fears that dissolution of regional special forces would leave Amharas vulnerable to attacks from Tigray and Oromiya.,">1,000",Amharas,1 week,No policy/leadership change in response to protests.,Thousands,Addis Ababa,0,0,X,0,0,0,0,0,0,"100,00%"
Georgia,Pro-EU protest,23-Apr,Partly free,"The deterioration of the health of former president Mikheil Saakashvili, an advocate of closer relations with Europe who was serving a six-year prison term.","Anger over the ruling Georgian Dream party's actions including jailing Saakashvili, which protesters believed to be taking Georgia in an authoritarian, pro-Russian directions and were hindering the country's big to accede to the European Union.",">1,000",Members of the opposition United National Movement (UNM) party.,1 day,No policy/leadership change in response to the protest.,Thousands,Tbilisi,0,0,X,0,0,0,0,0,0,"100,00%"
Mexico,Migrant protests,23-Apr,Partly free,A fire at a migrant processing center in Ciudad Juárez killed forty migrants.,Anger over the unsafe condition of some migrant detention centers and harassment from Mexico’s National Immigration Institute; frustration over the difficulty in procuring paperwork from the government that would allow migrants to travel to the U.S.-Mexico border.,3,Migrants.,4 weeks,A judge ordered the head of Mexico’s National Immigration Institute to stand trial on charges that he failed to protect those in his custody at the migrant processing detention center in Ciudad Juárez on the day of the fire.,Thousands,Mexico City,0,0,X,0,0,0,0,0,0,"300,00%"
